> model <- 'F = 1-587
+ CONSTRAIN = (1-587, a1)'
> model
[1] "F = 1-587\nCONSTRAIN = (1-587, a1)"
> twoPL_run10_equal_slopes <- mirt(lang_acq_run10_all_words_tsv, model)
Iteration: 25, Log-Lik: -1812.714, Max-Change: 0.00005
> coef(twoPL_run10_equal_slopes, IRTpars = TRUE, simplify=TRUE)
$items
                 a      b g u
stick        3.149  1.109 0 1
sticky       3.149  2.975 0 1
stone        3.149  1.393 0 1
stop         3.149 -0.187 0 1
store        3.149  1.109 0 1
story        3.149 -0.187 0 1
stove        3.149  0.907 0 1
strawberry   3.149  2.975 0 1
street       3.149 -0.187 0 1
stroller     3.149  2.975 0 1
stuck        3.149  1.109 0 1
sun          3.149  0.568 0 1
sweater      3.149  2.975 0 1
sweep        3.149  2.975 0 1
swim         3.149  0.907 0 1
table        3.149  0.029 0 1
take         3.149 -1.507 0 1
talk         3.149 -0.762 0 1
tape         3.149  1.393 0 1
taste        3.149  0.568 0 1
teacher      3.149  1.393 0 1
tear         3.149  2.975 0 1
telephone    3.149  1.393 0 1
that         3.149 -0.762 0 1
their        3.149 -2.499 0 1
them         3.149 -0.762 0 1
there        3.149 -0.443 0 1
these        3.149 -0.762 0 1
they         3.149 -2.499 0 1
think        3.149 -2.499 0 1
thirsty      3.149  2.975 0 1
this         3.149 -1.118 0 1
those        3.149 -0.187 0 1
throw        3.149  0.029 0 1
tickle       3.149  2.975 0 1
tiger        3.149  2.975 0 1
tights       3.149  2.975 0 1
time         3.149 -1.507 0 1
tiny         3.149  1.109 0 1
tired        3.149  0.568 0 1
tissue       3.149  2.975 0 1
to           3.149 -2.499 0 1
toast        3.149  2.975 0 1
today        3.149  0.733 0 1
toe          3.149  1.393 0 1
tomorrow     3.149  0.733 0 1
tongue       3.149  1.109 0 1
tonight      3.149  0.907 0 1
too          3.149  0.223 0 1
tooth        3.149  1.393 0 1
toothbrush   3.149  2.975 0 1
touch        3.149  0.733 0 1
towel        3.149  0.907 0 1
toy          3.149  2.975 0 1
tractor      3.149  2.975 0 1
train        3.149  1.393 0 1
trash        3.149  0.907 0 1
tray         3.149  2.975 0 1
tree         3.149  0.568 0 1
tricycle     3.149  2.975 0 1
truck        3.149  1.393 0 1
tummy        3.149  2.975 0 1
tuna         3.149  2.975 0 1
turkey       3.149  2.975 0 1
turtle       3.149  2.975 0 1
uncle        3.149  0.568 0 1
under        3.149 -0.443 0 1
underpants   3.149  2.975 0 1
up           3.149 -0.762 0 1
us           3.149 -1.118 0 1
vacuum       3.149  0.029 0 1
vagina       3.149  0.907 0 1
vanilla      3.149  1.109 0 1
vitamins     3.149  2.975 0 1
vroom        3.149  2.975 0 1
wait         3.149  0.029 0 1
wake         3.149 -0.443 0 1
walk         3.149  0.029 0 1
walker       3.149  2.975 0 1
wash         3.149  0.907 0 1
we           3.149 -2.499 0 1
wet          3.149  1.393 0 1
what         3.149 -0.443 0 1
when         3.149 -2.499 0 1
where        3.149 -0.762 0 1
which        3.149  0.029 0 1
white        3.149 -0.187 0 1
who          3.149 -0.443 0 1
why          3.149 -0.443 0 1
wind         3.149  0.568 0 1
window       3.149  0.029 0 1
windy        3.149  1.393 0 1
wipe         3.149  1.393 0 1
wish         3.149 -0.762 0 1
with         3.149 -2.499 0 1
wolf         3.149  1.393 0 1
woods        3.149  0.400 0 1
write        3.149 -0.187 0 1
yard         3.149  1.393 0 1
yellow       3.149  1.109 0 1
yes          3.149  2.975 0 1
yesterday    3.149  2.975 0 1
yogurt       3.149  2.975 0 1
you          3.149 -1.118 0 1
your         3.149 -1.118 0 1
yourself     3.149  0.223 0 1
yucky        3.149  2.975 0 1
zebra        3.149  2.975 0 1
zipper       3.149  1.393 0 1
zoo          3.149  1.109 0 1

$means
F 
0 

$cov
  F
F 1
